"703.4","2.64","11.19","925","4819.5","4707.7","7.11","7.4","250","2217","2792","0.20568","4","16","1151","","","","","","1151.358277","34.06158","0.179173669"
"697.2","2.64","38.8","1067","4983.4","5084.6","35.09","34.95","250","2116","2432","0.3408","6","18","1148","","","","","","1146.98712","34.06158","0.508724148"
"697.2","2.64","23.46","1043","4873.7","4701","19.16","19.88","250","2116","2432","0.3408","6","18","1148","","","","","","1138.855146","34.06158","6.127527617"
"697.2","2.64","14.76","999","4877.3","4749.6","10.41","11.01","250","2116","2432","0.3408","6","18","1148","","","","","","1139.856688","34.06158","5.25852202"
"697.2","2.64","11.91","950","4671.5","5083.5","8.19","7.65","250","2116","2432","0.3408","6","18","1148","","","","","","1144.662929","34.06158","1.775399173"
"[Type: Postech2019_Src]","[Date: 08/28/19 00:54:16]","","","","","","","","","","","","","","","","","","","","",""
"X1_InP","X2_InP","X3_InP","X4_InP","X5_InP","X6_InP","X7_InP","X8_InP","X9_InP","X10_InP","X11_InP","X12_InP","X13_InP","X14_InP","Y_InP_Actual","","","","","","Y_InP_MU","Y_InP_VAR","Y_InP_CRPS"
"732.9","3.086","23.39","1136","4858.9","5127.3","20.15","19.85","250","1531","2544","0.26458","4","16","1242","","","","","","1237.077649","34.06158","2.782709204"
"732.9","3.086","13.73","1073","4704.7","4877.9","10.56","10.38","250","1531","2544","0.26458","4","16","1242","","","","","","1236.051385","34.06158","3.509220513"
"732.9","3.086","9.55","987","4276","4177.3","6.96","7.08","250","1531","2544","0.26458","4","16","1242","","","","","","1235.179927","34.06158","4.179505458"
"732.9","3.086","8.14","922","5159.7","5096.2","4.35","4.42","250","1531","2544","0.26458","4","16","1242","","","","","","1246.442307","34.06158","2.468197581"
"730.7","3.086","29.56","1136","4581","4511.1","26.88","26.96","250","1521","2665","0.19452","4","16","1235","","","","","","1236.710628","34.06158","0.872350081"
"730.7","3.086","16.38","1087","4806.1","4971.9","13.12","12.95","250","1521","2665","0.19452","4","16","1235","","","","","","1238.257216","34.06158","1.732046227"
"730.7","3.086","9.9","1016","5146.2","5274.1","6.18","6.05","250","1521","2665","0.19452","4","16","1235","","","","","","1245.075303","34.06158","6.982802754"
"730.7","3.086","8.24","961","5235.1","5095.2","4.31","4.47","250","1521","2665","0.19452","4","16","1235","","","","","","1244.284011","34.06158","6.264695749"
"723.1","3.036","34.92","1154","5431.3","5583.1","31.08","30.91","250","1524","2866","0.19978","6","14","1241","","","","","","1231.631988","34.06158","6.330155001"
"723.1","3.036","14.7","1104","5894.7","6318.2","9.91","9.46","250","1524","2866","0.19978","6","14","1241","","","","","","1234.685038","34.06158","3.781643958"
"723.1","3.036","8.19","1017","5586.4","5383","3.87","4.07","250","1524","2866","0.19978","6","14","1241","","","","","","1231.401462","34.06158","6.536912169"
"723.1","3.166","7.03","936","4644.9","4283.4","4","4.21","250","1524","2866","0.19978","6","14","1241","","","","","","1227.915258","34.06158","9.833006935"
"719.5","3.306","35.65","1159","4962.3","4974.1","32.45","32.45","250","1525","2733","0.19452","4","12","1234","","","","","","1240.594903","34.06158","4.007334532"
"719.5","3.306","15.5","1112","5427.8","5701.1","11.29","11.01","250","1525","2733","0.19452","4","12","1234","","","","","","1241.86962","34.06158","5.037066565"
"719.5","3.306","8.54","1023","5127","4874.1","4.87","5.08","250","1525","2733","0.19452","4","12","1234","","","","","","1240.72493","34.06158","4.108597334"
"719.5","3.306","7.25","944","4410.4","4142.7","4.44","4.65","250","1525","2733","0.19452","4","12","1234","","","","","","1237.113548","34.06158","1.647534658"
"704","3.256","29.64","1144","4478","4560.9","26.84","26.75","250","1178","2660","0.19444","6","14","1240","","","","","","1237.159035","34.06158","1.488234345"
"704.1","3.256","14.2","1094","4798.5","4883.9","10.73","10.64","250","1178","2660","0.19444","6","14","1240","","","","","","1237.823006","34.06158","1.118730336"
"704.1","3.216","8.54","1007","4364.1","4103.1","5.58","5.99","250","1178","2660","0.19444","6","14","1240","","","","","","1235.646433","34.06158","2.403681639"
"704.1","3.216","7.2","940","4134.9","3934.8","4.6","4.8","250","1178","2660","0.19444","6","14","1240","","","","","","1237.136961","34.06158","1.498852166"
"667.6","2.471","64.39","1044","2104.9","2077.9","64.62","64.63","302","2228","2515","0.35724","2","24","1121","","","","","","1119.007534","34.06158","1.019001978"
"667.7","2.471","51.22","845","3674.1","3520.4","48.6","48.85","302","2228","2515","0.35724","2","24","1121","","","","","","1128.586198","34.06158","4.801318578"
"667.7","2.471","41.83","828","3492.8","3624.7","39.44","39.24","302","2228","2515","0.35724","2","24","1121","","","","","","1128.435475","34.06158","4.677471341"
"667.8","2.421","34.68","808","3218","3275.9","32.67","32.58","302","2228","2515","0.35724","2","24","1121","","","","","","1126.248861","34.06158","3.013882428"
"667.8","2.461","32.19","796","2903.9","2889.3","30.65","30.67","302","2228","2515","0.35724","2","24","1121","","","","","","1126.344348","34.06158","3.080946055"
"666.9","2.461","59.01","860","3049.6","3200.6","57.44","57.22","302","2225","2919","0.35724","2","22","1127","","","","","","1125.882257","34.06158","0.562270514"
"666.9","2.461","49.43","851","3229.7","3270.1","47.52","47.44","302","2225","2919","0.35724","2","22","1127","","","","","","1124.926711","34.06158","1.0616899"
"667","2.461","41.56","841","3071.5","3128.4","39.85","39.75","302","2225","2919","0.35724","2","22","1127","","","","","","1124.232514","34.06158","1.445099604"
"667","2.461","38.32","835","2964.4","2984.4","36.71","36.68","302","2225","2919","0.35724","2","22","1127","","","","","","1122.928631","34.06158","2.225724929"
"658.8","2.521","69.71","1068","2282.5","2217.1","69.68","69.79","302","2225","2512","0.35724","0","16","1120","","","","","","1129.059191","34.06158","6.06441212"
"658.9","2.521","53.85","1052","2208.9","2067","53.74","53.97","302","2225","2512","0.35724","0","16","1120","","","","","","1125.460828","34.06158","3.163719359"
"658.9","2.521","45.23","1041","2747","2682","44.31","44.33","302","2225","2512","0.35724","0","16","1120","","","","","","1127.104397","34.06158","4.409190718"
"658.8","2.521","59.28","861","2827.3","2846.8","57.95","57.92","302","2224","3124","0.35724","0","22","1128","","","","","","1122.772747","34.06158","2.992898773"
"658.8","2.471","50.83","853","2847.4","2859.6","49.38","49.36","302","2224","3124","0.35724","0","22","1128","","","","","","1120.072102","34.06158","5.077124433"
"658.8","2.441","43.52","842","2821.2","2807.6","42.08","42.11","302","2224","3124","0.35724","0","22","1128","","","","","","1119.384251","34.06158","5.669229184"
"658.8","2.381","40.38","837","2800","2731.5","38.87","39.06","302","2224","3124","0.35724","0","22","1128","","","","","","1117.093836","34.06158","7.748863619"
"658.6","2.351","61.3","864","3033.7","3042","59.69","59.68","302","2225","2627","0.35724","0","20","1125","","","","","","1125.960367","34.06158","0.484387384"
"658.6","2.321","51.58","854","3067.2","3077.2","49.85","49.85","302","2225","2627","0.35724","0","20","1125","","","","","","1124.707571","34.06158","0.146131806"
"658.7","2.321","43.56","842","2964.7","2985.8","41.95","41.91","302","2225","2627","0.35724","0","20","1125","","","","","","1123.928729","34.06158","0.539518277"
"658.7","2.321","40.24","837","2884.9","2875.6","38.68","38.7","302","2225","2627","0.35724","0","20","1125","","","","","","1122.503432","34.06158","1.29420571"
"687.4","2.532","30.78","1033","4280.2","4328.3","27.72","27.66","250","1520","3734","0.34766","8","20","1150","","","","","","1148.544892","34.06158","0.737762221"
"687.4","2.532","19.44","1001","4401.9","4148.3","15.61","16.42","250","1520","3734","0.34766","8","20","1150","","","","","","1145.034136","34.06158","2.814273625"
"687.4","2.602","12.64","930","4375.2","4212.3","9.24","9.45","250","1520","3734","0.34766","8","20","1150","","","","","","1151.436827","34.06158","0.728733229"
"687.4","2.732","11.26","882","3833","3439.4","8.47","9.17","250","1520","3734","0.34766","8","20","1150","","","","","","1152.750622","34.06158","1.439556294"
"702.8","2.632","28.9","1023","4646.5","4445.3","24.85","25.71","250","1521","3760","0.34766","10","22","1152","","","","","","1154.990865","34.06158","1.576841162"
"702.8","2.632","19.08","992","4896.1","4380","14.74","15.85","250","1521","3760","0.34766","10","22","1152","","","","","","1154.805753","34.06158","1.470812822"
"702.8","2.572","12.64","923","4961.5","5030.4","8.48","8.39","250","1521","3760","0.34766","10","22","1152","","","","","","1159.956828","34.06158","5.110406251"
"702.8","2.642","11.14","864","4302.4","4308.6","7.83","7.83","250","1521","3760","0.34766","10","22","1152","","","","","","1159.046002","34.06158","4.36254213"
"693.3","2.69","36.88","1066","4207.8","4189.1","33.61","34.18","250","2026","2834","0.26888","4","16","1145","","","","","","1149.80594","34.06158","2.709762572"
"693.3","2.69","21.75","1038","4498.6","4269.6","17.9","18.71","250","2026","2834","0.26888","4","16","1145","","","","","","1147.679933","34.06158","1.398741064"
"693.3","2.69","13.64","985","4635","4352.1","9.55","10.39","250","2026","2834","0.26888","4","16","1145","","","","","","1149.79052","34.06158","2.699407007"
"693.3","2.6","11.06","930","4574","4852.6","7.33","6.98","250","2026","2834","0.26888","4","16","1145","","","","","","1151.894993","34.06158","4.242383825"
"703.3","2.7","36.16","1069","4711.1","4676.5","32.22","32.8","250","2217","2792","0.20568","4","16","1151","","","","","","1150.539629","34.06158","0.231377369"
"703.4","2.7","21.34","1041","4912.1","4756.5","17","17.66","250","2217","2792","0.20568","4","16","1151","","","","","","1148.864966","34.06158","1.097650199"
"703.4","2.73","13.48","986","4953.6","4735.3","9.11","9.75","250","2217","2792","0.20568","4","16","1151","","","","","","1151.710682","34.06158","0.357681772"
